"t_no";"type";"seats";"status";"date";"fr";"t";"price"
"1";"BUSINESS";"6";"AVAILABLE";"------------";"------------";"------------";"3000"
"2";"BUSINESS";"5";"120091";"DECEMBER 21,2019";"7:00 PM";"9:00 PM";"3000"
"3";"ORDINARY";"4";"AVAILABLE";"------------";"------------";"------------";"1000"
"4";"EXECUTIVE";"8";"120089";"JANUARY 1,2020";"4:00 PM";"6:00 PM";"5000"
"5";"DATE";"2";"120090";"DECEMBER 12,2019";"7:30 PM";"8:30 PM";"2000"
"6";"DATE";"2";"AVAILABLE";"------------";"------------";"------------";"2000"
"7";"DATE";"2";"120095";"DECEMBER 19,2019";"10:00 AM";"12:00 PM";"2000"
"8";"EXECUTIVE";"8";"AVAILABLE";"------------";"------------";"------------";"5000"
"9";"EXECUTIVE";"10";"AVAILABLE";"------------";"------------";"------------";"5000"
"10";"PERSONAL HALL";"25";"120092";"DECEMBER 15,2019";"8:30 PM";"10:00 PM";"12000"
"11";"PERSONAL HALL";"25";"AVAILABLE";"------------";"------------";"------------";"12000"
"12";"BUSINESS";"5";"120093";"DECEMBER 22,2019";"11:00 AM";"1:30 PM";"3000"
"13";"BUSINESS";"6";"120094";"JANUARY 15, 2020";"12:30 PM";"2:00 PM";"3000"
"14";"ORDINARY";"4";"AVAILABLE";"------------";"------------";"------------";"1000"
"15";"EXECUTIVE";"10";"AVAILABLE";"------------";"------------";"------------";"5000"
